date time+AF8-utc lat lon elev                               
2021/03/10 20:43:41.000 49.674130134 +AC0-125.377264949 1265.0188   5   8   3.7448   2.4822   6.1745   1.3527   2.44   2.9013   0    0
2021/03/10 20:43:42.000 49.674130841 +AC0-125.377264541 1265.0436   5   8   3.7449   2.4821   6.1753   1.3522   2.4399   2.9018   0    0
2021/03/10 20:43:43.000 49.674130753 +AC0-125.377264544 1265.1527   5   8   3.7449   2.482   6.176   1.3517   2.4398   2.9023   0    0
2021/03/10 20:43:44.000 49.674131905 +AC0-125.377265313 1264.9663   5   8   3.7449   2.4819   6.1768   1.3511   2.4398   2.9027   0    0
2021/03/10 20:43:45.000 49.674136572 +AC0-125.377265174 1265.6991   5   9   3.466   2.4745   5.5705   1.4465   2.5411   2.1544   0    0
2021/03/10 20:43:46.000 49.674131223 +AC0-125.377264497 1264.6463   5   8   3.745   2.4816   6.1784   1.3501   2.4396   2.9037   0    0
2021/03/10 20:43:47.000 49.674131509 +AC0-125.377262172 1264.7534   5   8   3.745   2.4815   6.1792   1.3495   2.4396   2.9042   0    0
2021/03/10 20:43:48.000 49.674130415 +AC0-125.377260772 1264.869   5   8   3.745   2.4814   6.18   1.349   2.4395   2.9047   0    0
2021/03/10 20:43:49.000 49.674129707 +AC0-125.377261135 1264.9954   5   8   3.745   2.4813   6.1808   1.3485   2.4394   2.9051   0    0
2021/03/10 20:43:50.000 49.674128532 +AC0-125.377261665 1265.0049   5   8   3.7451   2.4812   6.1816   1.348   2.4394   2.9056   0    0
2021/03/10 20:43:51.000 49.674129023 +AC0-125.37726351 1264.9282   5   8   3.7451   2.4811   6.1824   1.3474   2.4393   2.9061   0    0
2021/03/10 20:43:52.000 49.674129707 +AC0-125.377264876 1264.7205   5   8   3.7451   2.481   6.1832   1.3469   2.4392   2.9066   0    0
2021/03/10 20:43:53.000 49.674129285 +AC0-125.37726521 1264.8344   5   8   3.7451   2.4808   6.184   1.3464   2.4392   2.907   0    0
2021/03/10 20:43:54.000 49.674132378 +AC0-125.377267703 1265.6078   5   9   3.4648   2.4736   5.5731   1.4416   2.5402   2.1543   0    0
